Sample,group,id,lab,background,variable,value
SRR1561745_merge,hESC,hESC-H9 (SRR1561745-7),Smith,H9,PC1,-75.74076123
RL2351_merge,hESC,hESC-H9,Lister,H9,PC1,-47.42959087
RL2352_merge,hESC,hESC-MEL1,Lister,MEL1,PC1,-69.74192335
SRS606777,hESC,hESC-HESO7 (SRS606777),Mitalipov,hESC_1,PC1,-82.93637781
SRS606778,hESC,hESC-HESO8 (SRS606778),Mitalipov,hESC_2,PC1,-81.20019473
SRS114877,hESC,hESC-H9 (SRS114877),Ecker,H9,PC1,-102.9019929
SRS004213,hESC,hESC-H1 (GSM429321),Ecker,H1,PC1,-77.32959092
RL1751_1771,Primed-hiPSC,Primed-hiPSC-P26 (32F),Lister,32F,PC1,0.694291721
RL417,Primed-hiPSC,Primed-hiPSC-P3 (32F),Lister,32F,PC1,26.29289156
RL418,Primed-hiPSC,Primed-hiPSC-P10 (32F),Lister,32F,PC1,84.97410616
RL703,Primed-hiPSC,Primed-hiPSC-P20 (38F),Lister,38F,PC1,-24.44745101
RL3061,TNT-hiPSC,TNT-hiPSC-B2-r1,Lister,32F,PC1,59.68882459
RL3062,TNT-hiPSC,TNT-hiPSC-B2-r2,Lister,32F,PC1,58.22093768
RL3063,TNT-hiPSC,TNT-hiPSC-B2-r3,Lister,32F,PC1,59.3695362
RL3064,TNT-hiPSC,TNT-hiPSC-B2-r4,Lister,32F,PC1,62.63389175
RL3065,TNT-hiPSC,TNT-hiPSC-B2-r5,Lister,32F,PC1,99.63994451
RL3066,TNT-hiPSC,TNT-hiPSC-B2-r6,Lister,32F,PC1,62.73131943
RL3067,Primed-hiPSC,Primed-hiPSC-B2-r1,Lister,32F,PC1,75.39669699
RL3068,Primed-hiPSC,Primed-hiPSC-B2-r2,Lister,32F,PC1,91.7694979
RL3069,Primed-hiPSC,Primed-hiPSC-B2-r3,Lister,32F,PC1,80.0180033
RL3070,Primed-hiPSC,Primed-hiPSC-B2-r4,Lister,32F,PC1,72.79771623
RL3071,Primed-hiPSC,Primed-hiPSC-B2-r5,Lister,32F,PC1,74.23241222
RL3072,Primed-hiPSC,Primed-hiPSC-B2-r6,Lister,32F,PC1,75.57976966
SRX026829,Primed-hiPSC,hiPSC-IMR90 (SRX026829),Ecker,IMR90,PC1,-40.8537007
SRX026830,Primed-hiPSC,hiPSC-FF-6-9  (SRX026830),Ecker,FF,PC1,-42.92784109
SRX026831,Primed-hiPSC,hiPSC-FF-19-7 (SRX026831),Ecker,FF,PC1,-30.01250644
SRX026832,Primed-hiPSC,hiPSC-FF-19-11 (SRX026832),Ecker,FF,PC1,-29.36666416
SRS606782,Primed-hiPSC,Primed-hiPSC (SRS606782),Mitalipov,iPSC_S1,PC1,-101.2022846
SRS606783,Primed-hiPSC,Primed-hiPSC (SRS606783),Mitalipov,iPSC_S2,PC1,-116.841068
RL1124,TNT-hiPSC,TNT-hiPSC (32F),Lister,32F,PC1,-30.01265245
RL1125,TNT-hiPSC,TNT-hiPSC (38F),Lister,38F,PC1,-31.09523968
SRR1561745_merge,hESC,hESC-H9 (SRR1561745-7),Smith,H9,PC2,8.186369304
RL2351_merge,hESC,hESC-H9,Lister,H9,PC2,3.843574378
RL2352_merge,hESC,hESC-MEL1,Lister,MEL1,PC2,35.70534223
SRS606777,hESC,hESC-HESO7 (SRS606777),Mitalipov,hESC_1,PC2,2.850196815
SRS606778,hESC,hESC-HESO8 (SRS606778),Mitalipov,hESC_2,PC2,26.26471711
SRS114877,hESC,hESC-H9 (SRS114877),Ecker,H9,PC2,-54.91629778
SRS004213,hESC,hESC-H1 (GSM429321),Ecker,H1,PC2,-19.33019429
RL1751_1771,Primed-hiPSC,Primed-hiPSC-P26 (32F),Lister,32F,PC2,25.5902276
RL417,Primed-hiPSC,Primed-hiPSC-P3 (32F),Lister,32F,PC2,2.337635668
RL418,Primed-hiPSC,Primed-hiPSC-P10 (32F),Lister,32F,PC2,-91.8949551
RL703,Primed-hiPSC,Primed-hiPSC-P20 (38F),Lister,38F,PC2,-11.35320448
RL3061,TNT-hiPSC,TNT-hiPSC-B2-r1,Lister,32F,PC2,34.08464071
RL3062,TNT-hiPSC,TNT-hiPSC-B2-r2,Lister,32F,PC2,25.79004816
RL3063,TNT-hiPSC,TNT-hiPSC-B2-r3,Lister,32F,PC2,30.37703731
RL3064,TNT-hiPSC,TNT-hiPSC-B2-r4,Lister,32F,PC2,27.26774246
RL3065,TNT-hiPSC,TNT-hiPSC-B2-r5,Lister,32F,PC2,-103.465575
RL3066,TNT-hiPSC,TNT-hiPSC-B2-r6,Lister,32F,PC2,25.13049182
RL3067,Primed-hiPSC,Primed-hiPSC-B2-r1,Lister,32F,PC2,12.22286328
RL3068,Primed-hiPSC,Primed-hiPSC-B2-r2,Lister,32F,PC2,-35.18812146
RL3069,Primed-hiPSC,Primed-hiPSC-B2-r3,Lister,32F,PC2,-4.075032501
RL3070,Primed-hiPSC,Primed-hiPSC-B2-r4,Lister,32F,PC2,-16.60116315
RL3071,Primed-hiPSC,Primed-hiPSC-B2-r5,Lister,32F,PC2,0.998951243
RL3072,Primed-hiPSC,Primed-hiPSC-B2-r6,Lister,32F,PC2,7.767863428
SRX026829,Primed-hiPSC,hiPSC-IMR90 (SRX026829),Ecker,IMR90,PC2,45.5514822
SRX026830,Primed-hiPSC,hiPSC-FF-6-9  (SRX026830),Ecker,FF,PC2,45.26474967
SRX026831,Primed-hiPSC,hiPSC-FF-19-7 (SRX026831),Ecker,FF,PC2,35.56523342
SRX026832,Primed-hiPSC,hiPSC-FF-19-11 (SRX026832),Ecker,FF,PC2,37.3434796
SRS606782,Primed-hiPSC,Primed-hiPSC (SRS606782),Mitalipov,iPSC_S1,PC2,-102.2654683
SRS606783,Primed-hiPSC,Primed-hiPSC (SRS606783),Mitalipov,iPSC_S2,PC2,-77.16372066
RL1124,TNT-hiPSC,TNT-hiPSC (32F),Lister,32F,PC2,48.36140997
RL1125,TNT-hiPSC,TNT-hiPSC (38F),Lister,38F,PC2,35.74967634
SRR1561745_merge,hESC,hESC-H9 (SRR1561745-7),Smith,H9,PC3,-53.9486593
RL2351_merge,hESC,hESC-H9,Lister,H9,PC3,-46.02779228
RL2352_merge,hESC,hESC-MEL1,Lister,MEL1,PC3,-30.64417099
SRS606777,hESC,hESC-HESO7 (SRS606777),Mitalipov,hESC_1,PC3,-35.59889316
SRS606778,hESC,hESC-HESO8 (SRS606778),Mitalipov,hESC_2,PC3,-24.56669985
SRS114877,hESC,hESC-H9 (SRS114877),Ecker,H9,PC3,-71.60989052
SRS004213,hESC,hESC-H1 (GSM429321),Ecker,H1,PC3,-34.08826311
RL1751_1771,Primed-hiPSC,Primed-hiPSC-P26 (32F),Lister,32F,PC3,43.46358249
RL417,Primed-hiPSC,Primed-hiPSC-P3 (32F),Lister,32F,PC3,31.74179857
RL418,Primed-hiPSC,Primed-hiPSC-P10 (32F),Lister,32F,PC3,28.06272791
RL703,Primed-hiPSC,Primed-hiPSC-P20 (38F),Lister,38F,PC3,31.34029134
RL3061,TNT-hiPSC,TNT-hiPSC-B2-r1,Lister,32F,PC3,-26.28083712
RL3062,TNT-hiPSC,TNT-hiPSC-B2-r2,Lister,32F,PC3,-17.1966295
RL3063,TNT-hiPSC,TNT-hiPSC-B2-r3,Lister,32F,PC3,-26.45097324
RL3064,TNT-hiPSC,TNT-hiPSC-B2-r4,Lister,32F,PC3,-25.13635725
RL3065,TNT-hiPSC,TNT-hiPSC-B2-r5,Lister,32F,PC3,-18.68766801
RL3066,TNT-hiPSC,TNT-hiPSC-B2-r6,Lister,32F,PC3,-19.47624827
RL3067,Primed-hiPSC,Primed-hiPSC-B2-r1,Lister,32F,PC3,-10.46921748
RL3068,Primed-hiPSC,Primed-hiPSC-B2-r2,Lister,32F,PC3,4.006390605
RL3069,Primed-hiPSC,Primed-hiPSC-B2-r3,Lister,32F,PC3,-3.203213467
RL3070,Primed-hiPSC,Primed-hiPSC-B2-r4,Lister,32F,PC3,-1.219735208
RL3071,Primed-hiPSC,Primed-hiPSC-B2-r5,Lister,32F,PC3,5.041188949
RL3072,Primed-hiPSC,Primed-hiPSC-B2-r6,Lister,32F,PC3,0.588005639
SRX026829,Primed-hiPSC,hiPSC-IMR90 (SRX026829),Ecker,IMR90,PC3,52.61852856
SRX026830,Primed-hiPSC,hiPSC-FF-6-9  (SRX026830),Ecker,FF,PC3,47.84137206
SRX026831,Primed-hiPSC,hiPSC-FF-19-7 (SRX026831),Ecker,FF,PC3,56.00930533
SRX026832,Primed-hiPSC,hiPSC-FF-19-11 (SRX026832),Ecker,FF,PC3,54.72994189
SRS606782,Primed-hiPSC,Primed-hiPSC (SRS606782),Mitalipov,iPSC_S1,PC3,48.77518686
SRS606783,Primed-hiPSC,Primed-hiPSC (SRS606783),Mitalipov,iPSC_S2,PC3,35.27639702
RL1124,TNT-hiPSC,TNT-hiPSC (32F),Lister,32F,PC3,12.32764838
RL1125,TNT-hiPSC,TNT-hiPSC (38F),Lister,38F,PC3,-7.217116845
SRR1561745_merge,hESC,hESC-H9 (SRR1561745-7),Smith,H9,PC4,1.875829661
RL2351_merge,hESC,hESC-H9,Lister,H9,PC4,16.72303869
RL2352_merge,hESC,hESC-MEL1,Lister,MEL1,PC4,34.51568562
SRS606777,hESC,hESC-HESO7 (SRS606777),Mitalipov,hESC_1,PC4,-5.770024693
SRS606778,hESC,hESC-HESO8 (SRS606778),Mitalipov,hESC_2,PC4,-10.54465515
SRS114877,hESC,hESC-H9 (SRS114877),Ecker,H9,PC4,-3.594161226
SRS004213,hESC,hESC-H1 (GSM429321),Ecker,H1,PC4,-1.314924942
RL1751_1771,Primed-hiPSC,Primed-hiPSC-P26 (32F),Lister,32F,PC4,68.87470033
RL417,Primed-hiPSC,Primed-hiPSC-P3 (32F),Lister,32F,PC4,9.264245991
RL418,Primed-hiPSC,Primed-hiPSC-P10 (32F),Lister,32F,PC4,23.12884966
RL703,Primed-hiPSC,Primed-hiPSC-P20 (38F),Lister,38F,PC4,60.89659193
RL3061,TNT-hiPSC,TNT-hiPSC-B2-r1,Lister,32F,PC4,-12.61962612
RL3062,TNT-hiPSC,TNT-hiPSC-B2-r2,Lister,32F,PC4,-12.94669821
RL3063,TNT-hiPSC,TNT-hiPSC-B2-r3,Lister,32F,PC4,-14.25263197
RL3064,TNT-hiPSC,TNT-hiPSC-B2-r4,Lister,32F,PC4,-13.98118241
RL3065,TNT-hiPSC,TNT-hiPSC-B2-r5,Lister,32F,PC4,46.84841103
RL3066,TNT-hiPSC,TNT-hiPSC-B2-r6,Lister,32F,PC4,-15.53270011
RL3067,Primed-hiPSC,Primed-hiPSC-B2-r1,Lister,32F,PC4,-24.29171654
RL3068,Primed-hiPSC,Primed-hiPSC-B2-r2,Lister,32F,PC4,-9.111830972
RL3069,Primed-hiPSC,Primed-hiPSC-B2-r3,Lister,32F,PC4,-20.22128654
RL3070,Primed-hiPSC,Primed-hiPSC-B2-r4,Lister,32F,PC4,-6.825641877
RL3071,Primed-hiPSC,Primed-hiPSC-B2-r5,Lister,32F,PC4,-15.86165926
RL3072,Primed-hiPSC,Primed-hiPSC-B2-r6,Lister,32F,PC4,-22.67795587
SRX026829,Primed-hiPSC,hiPSC-IMR90 (SRX026829),Ecker,IMR90,PC4,-10.03289565
SRX026830,Primed-hiPSC,hiPSC-FF-6-9  (SRX026830),Ecker,FF,PC4,-7.640027379
SRX026831,Primed-hiPSC,hiPSC-FF-19-7 (SRX026831),Ecker,FF,PC4,-18.56329018
SRX026832,Primed-hiPSC,hiPSC-FF-19-11 (SRX026832),Ecker,FF,PC4,-19.40061997
SRS606782,Primed-hiPSC,Primed-hiPSC (SRS606782),Mitalipov,iPSC_S1,PC4,-34.57107651
SRS606783,Primed-hiPSC,Primed-hiPSC (SRS606783),Mitalipov,iPSC_S2,PC4,-36.3862714
RL1124,TNT-hiPSC,TNT-hiPSC (32F),Lister,32F,PC4,39.0882039
RL1125,TNT-hiPSC,TNT-hiPSC (38F),Lister,38F,PC4,14.92532018